,device_category,platform,Live Channel,Livestream,Timeshift Channel,Video on Demand,Total,Total Raw,Total Duration
0,mobile,ANDROID,367199,10,101599,226638,695446,4230926,281190864
1,smart tv,ANDROID,931,0,75,426,1432,10241,1827060
2,tablet,ANDROID,11427,0,3728,8617,23772,134989,12652423
3,mobile,IOS,95349,0,24120,89732,209201,4106811,181343977
4,tablet,IOS,7567,0,1935,6723,16225,256079,17056950
5,desktop,WEB,81342,0,32113,0,113455,327691,177908182
6,mobile,WEB,1708,0,301,0,2009,6040,7876829
7,smart tv,WEB,60,0,19,0,79,278,162372
8,tablet,WEB,0,0,1,0,1,5,274
9,TOTAL,,565583,10,163891,332136,1061620,9073060,680018931
